1;0
1001; 0.249501
2001; 0.24975
3001; 0.249834
4001; 0.249875
5001; 0.2499
6001; 0.249917
7001; 0.249929
8001; 0.249937
9001; 0.249944
10001; 0.24995
11001; 0.249955
12001; 0.249958
13001; 0.249961
14001; 0.249965
15001; 0.249967
16001; 0.249969
17001; 0.249971
18001; 0.249972
19001; 0.249974
20001; 0.249975
21001; 0.249976
22001; 0.249977
23001; 0.249978
24001; 0.249979
25001; 0.24998
26001; 0.249981
27001; 0.249982
28001; 0.249982
29001; 0.249983
30001; 0.249983
31001; 0.249984
32001; 0.249984
33001; 0.249985
34001; 0.249985
