Размер массива - 1000
26990 нсек.
18194 нсек.
15990 нсек.
16130 нсек.
15589 нсек.
15950 нсек.
19256 нсек.
15289 нсек.
15850 нсек.
15639 нсек.
Размер массива - 5000
156101 нсек.
121927 нсек.
117759 нсек.
125233 нсек.
117990 нсек.
116196 нсек.
116116 нсек.
122558 нсек.
102310 нсек.
91390 нсек.
Размер массива - 10000
284269 нсек.
196135 нсек.
195254 нсек.
197558 нсек.
195064 нсек.
197708 нсек.
196586 нсек.
197949 нсек.
198530 нсек.
200383 нсек.
Размер массива - 50000
1383388 нсек.
1305382 нсек.
1305844 нсек.
1303930 нсек.
1307637 нсек.
1307186 нсек.
1370083 нсек.
1315722 нсек.
1310803 нсек.
1306625 нсек.
Размер массива - 100000
2782946 нсек.
2690725 нсек.
2729938 нсек.
2770583 нсек.
2734847 нсек.
2700612 нсек.
2793435 нсек.
2719979 нсек.
2680405 нсек.
2804917 нсек.
