Размер массива - 1000
20147 нсек.
18234 нсек.
18935 нсек.
17883 нсек.
18464 нсек.
18495 нсек.
18244 нсек.
17733 нсек.
17753 нсек.
17813 нсек.
Размер массива - 5000
128970 нсек.
126415 нсек.
128269 нсек.
128198 нсек.
123810 нсек.
125364 нсек.
128971 нсек.
113843 нсек.
103843 нсек.
96500 нсек.
Размер массива - 10000
222014 нсек.
207827 нсек.
214089 нсек.
207958 нсек.
213669 нсек.
221703 нсек.
214800 нсек.
214510 нсек.
217806 нсек.
214530 нсек.
Размер массива - 50000
1447206 нсек.
1369091 нсек.
1457626 нсек.
1516375 нсек.
1457446 нсек.
1462024 нсек.
1465530 нсек.
1476380 нсек.
1458598 нсек.
1474698 нсек.
Размер массива - 100000
3031368 нсек.
2994519 нсек.
3099675 нсек.
3034113 нсек.
3073105 нсек.
3083956 нсек.
3051114 нсек.
3054762 нсек.
3056995 нсек.
3074768 нсек.
