Размер массива - 1000
958880 нсек.
975831 нсек.
959882 нсек.
947709 нсек.
953951 нсек.
965702 нсек.
963679 нсек.
960403 нсек.
979047 нсек.
939133 нсек.
Размер массива - 5000
15261755 нсек.
14753942 нсек.
14779180 нсек.
14894646 нсек.
14748342 нсек.
14755946 нсек.
14776124 нсек.
14934160 нсек.
14789339 нсек.
14803685 нсек.
Размер массива - 10000
57815606 нсек.
57985084 нсек.
58046399 нсек.
58134675 нсек.
58315915 нсек.
58623252 нсек.
58526821 нсек.
58520268 нсек.
58925259 нсек.
59031579 нсек.
Размер массива - 50000
1995359316 нсек.
1974499251 нсек.
1952467913 нсек.
1974657468 нсек.
1977223643 нсек.
1981124663 нсек.
1984927780 нсек.
1980881888 нсек.
1989605557 нсек.
1989770998 нсек.
