Размер массива - 1000
1773 нсек.
1733 нсек.
1743 нсек.
1703 нсек.
1703 нсек.
1703 нсек.
1723 нсек.
1703 нсек.
1703 нсек.
1714 нсек.
Размер массива - 5000
8346 нсек.
8356 нсек.
8386 нсек.
8366 нсек.
8356 нсек.
8356 нсек.
8366 нсек.
8366 нсек.
7634 нсек.
6823 нсек.
Размер массива - 10000
12374 нсек.
11523 нсек.
11382 нсек.
11432 нсек.
11572 нсек.
11602 нсек.
11562 нсек.
11623 нсек.
11522 нсек.
11622 нсек.
Размер массива - 50000
110352 нсек.
110272 нсек.
116985 нсек.
116975 нсек.
111615 нсек.
111535 нсек.
111554 нсек.
114761 нсек.
111565 нсек.
111564 нсек.
Размер массива - 100000
120782 нсек.
223059 нсек.
223029 нсек.
222959 нсек.
111555 нсек.
226616 нсек.
111504 нсек.
111505 нсек.
223059 нсек.
117686 нсек.
